,Brand,ARAI Mileage,Fuel Type,Engine Displacement (cc),No. of cylinder,Max Power (bhp@rpm),Max Torque (nm@rpm),Seating Capacity,TransmissionType,Boot Space (Litres),Fuel Tank Capacity,Body Type,Power Steering,Power Windows Front,Anti Lock Braking System,Air Conditioner,Driver Airbag,Passenger Airbag,Automatic Climate Control,Fog Lights - Front,Alloy Wheels,Price,Multi-function Steering Wheel,Service Cost (Avg. of 5 years),Ground Clearance Unladen,Engine Start Stop Button,Wheel Covers,Secondary Fuel Type,City Mileage,Charging time,Battery Capacity,Range,WLTP Mileage
0,Maruti Swift,22.56 kmpl,Petrol,1197,4,88.50bhp@6000rpm,113Nm@4400rpm,5,Automatic,268,37.0,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.5.99 - 9.03 Lakh*Get On Road Price,,,,,,,,,,,
1,Maruti FRONX,20.01 kmpl,Petrol,998,3,98.69bhp@5500rpm,147.6Nm@2000-4500rpm,5,Automatic,308,37.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Rs.7.46 - 13.13 Lakh*Get On Road Price,Yes,,,,,,,,,,
2,Maruti Brezza,19.8 kmpl,Petrol,1462,4,101.65bhp@6000rpm,136.8Nm@4400rpm,5,Automatic,328,48.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.8.29 - 14.14 Lakh*Get On Road Price,,"Rs.5,161",,,,,,,,,
3,Maruti Dzire,22.61 kmpl,Petrol,1197,4,88.50bhp@6000rpm,113Nm@4400rpm,5,Automatic,378,37.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.6.51 - 9.39 Lakh*Get On Road Price,,"Rs.5,254",,,,,,,,,
4,Maruti Jimny,16.39 kmpl,Petrol,1462,4,103.39bhp@6000rpm,134.2nm@4000rpm,4,Automatic,211,40.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.12.74 - 15.05 Lakh*Get On Road Price,,,210mm,,,,,,,,
5,Maruti Wagon R,24.43 kmpl,Petrol,1197,4,88.50bhp@6000rpm,113Nm@4400rpm,5,Automatic,341,32.0,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.5.54 - 7.42 Lakh*Get On Road Price,Yes,,,,,,,,,,
6,Maruti Invicto,23.24 kmpl,Petrol,1987,4,150.19bhp@6000rpm,188Nm@4400-5200rpm,"7, 8",Automatic,,52.0,MUV,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.24.79 - 28.42 Lakh*Get On Road Price,Yes,,,Yes,,,,,,,
7,Maruti Alto K10,33.85 km/kg,CNG,998,3,55.92bhp@5300rpm,82.1Nm@3400rpm,"4, 5",Manual,,55.0,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,,,,Rs.3.99 - 5.96 Lakh*Get On Road Price,No,,,,Yes,,,,,,
8,Maruti XL6,20.27 kmpl,Petrol,1462,4,101.65bhp@6000rpm,136.8Nm@4400rpm,6,Automatic,209,45.0,MUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.11.56 - 14.82 Lakh*Get On Road Price,,"Rs.5,362",,,,,,,,,
9,Maruti S-Presso,32.73 km/kg,CNG,998,3,55.92bhp@5500rpm,82.1Nm@3400rpm,"4, 5",Manual,,55.0,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,,,,Rs.4.26 - 6.12 Lakh*Get On Road Price,No,,,,Yes,,,,,,
10,Maruti Ertiga Tour,26.08 km/kg,CNG,1462,4,91.18bhp@6000rpm,122Nm@4400rpm,7,Manual,,60.0,MUV,Yes,Yes,Yes,Yes,Yes,Yes,,,,Rs.9.75 - 10.70 Lakh*Get On Road Price,Yes,,,,Yes,Petrol,,,,,
11,Maruti Alto 800 tour,22.05 kmpl,Petrol,796,3,47.33bhp@6000rpm,69Nm@3500rpm,5,Manual,,35.0,Hatchback,Yes,Yes,Yes,Yes,Yes,,,,,Rs.4.20 Lakh*Get On Road Price,,,,,,,,,,,
12,Maruti Eeco Cargo,27.05 km/kg,CNG,1197,4,70.67bhp@6000rpm,95Nm@3000rpm,2,Manual,,65.0,Minivan,,,,Yes,,,,,,Rs.5.42 - 6.74 Lakh*Get On Road Price,,,,,Yes,,,,,,
13,Maruti Swift Dzire Tour,31.12 km/kg,CNG,1197,4,76.43bhp@6000rpm,98.5Nm@4300rpm,5,Manual,,55.0,Sedan,Yes,Yes,Yes,Yes,Yes,,,,,Rs.6.51 - 7.36 Lakh*Get On Road Price,,,,,,,,,,,
14,Maruti Wagon R tour,34.73 km/kg,CNG,998,3,55.92bhp@5300rpm,82.1Nm@3400rpm,5,Manual,,,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,,,,Rs.5.51 - 6.42 Lakh*Get On Road Price,,,,,,Petrol,,,,,
15,Hyundai Exter,19.2 kmpl,Petrol,1197,4,81.80bhp@6000rpm,113.8Nm@4000rpm,5,Automatic,,37.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.6 - 10.10 Lakh*Get On Road Price,Yes,,,Yes,,,,,,,
16,Hyundai Creta,,Diesel,1493,4,113.45bhp@4000rpm,250Nm@1500-2750rpm,5,Automatic,,50.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.10.87 - 19.20 Lakh*Get On Road Price,,"Rs.4,211",,,,,18.0 kmpl,,,,
17,Hyundai Verna,20.6 kmpl,Petrol,1482,4,157.57bhp@5500rpm,253Nm@1500-3500rpm,5,Automatic,,45.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Rs.10.96 - 17.38 Lakh*Get On Road Price,Yes,"Rs.3,312",,,,,,,,,
18,Hyundai Venue,,Petrol,998,3,118.41bhp@6000rpm,172Nm@1500-4000rpm,5,Automatic,,45.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Rs.7.77 - 13.18 Lakh*Get On Road Price,Yes,,,,,,16.0 kmpl,,,,
19,Hyundai Aura,,CNG,1197,4,67.72bhp@6000rpm,95.2Nm@4000rpm,5,Manual,,65.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Rs.6.33 - 8.90 Lakh*Get On Road Price,Yes,"Rs.3,990",,,,,,,,,
20,Hyundai Alcazar,18.1 kmpl,Diesel,1498,4,113.98bhp@4000rpm,250Nm@1500-2750rpm,"6, 7",Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.16.77 - 21.23 Lakh*Get On Road Price,,,,,,,16.0 kmpl,,,,
21,Hyundai Tucson,,Diesel,1997,4,183.72bhp@4000rpm,416Nm@2000-2750rpm,5,Automatic,,54.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.28.63 - 35.46 Lakh*Get On Road Price,Yes,"Rs.3,505",,Yes,,,,,,,
22,Hyundai Kona Electric,,,,,134.10bhp,395Nm,5,,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Rs.23.84 - 24.03 Lakh*Get On Road Price,Yes,,,,,,,6.16 Hours,39.2kWh,452km,
23,Hyundai Venue N Line,,Petrol,998,3,118.41bhp@6000rpm,172Nm@1500-4000rpm,5,Automatic,,45.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Rs.12.67 - 13.81 Lakh*Get On Road Price,Yes,"Rs.3,619",,,,,,,,,
24,Hyundai Grand i10 Nios,,Petrol,1197,4,81.80bhp@6000rpm,113.8Nm@4000rpm,5,Automatic,,37.0,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Rs.5.73 - 8.51 Lakh*Get On Road Price,Yes,"Rs.2,944",,,,,,,,,
25,Hyundai i20 N Line,20.25 kmpl,Petrol,998,3,118.41bhp@6000rpm,172Nm@1500-4000rpm,5,Automatic,,37.0,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.10.19 - 12.31 Lakh*Get On Road Price,,"Rs.4,330",,,,,16.0 kmpl,,,,
26,Hyundai IONIQ 5,,,,,214.56bhp,350Nm,5,,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.44.95 Lakh*Get On Road Price,Yes,,,,,,,6.90 Hours,72.6kWh,631,
27,Tata Punch,18.8 kmpl,Petrol,1199,3,86.63bhp@6000rpm,115Nm@3250+/-100rpm,5,Automatic,366,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.6 - 10.10 Lakh*Get On Road Price,,"Rs.4,712",,,,,,,,,
28,Tata Nexon,24.07 kmpl,Diesel,1497,4,113.42bhp@3750rpm,260Nm@1500-2750rpm,5,Automatic,350,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.8 - 14.60 Lakh*Get On Road Price,,"Rs.6,271",209,,,,,,,,
29,Tata Harrier,14.6 kmpl,Diesel,1956,4,167.67bhp@3750rpm,350Nm@1750-2500rpm,5,Automatic,425,50.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.15.20 - 24.27 Lakh*Get On Road Price,,,,,,,,,,,
30,Tata Altroz,23.64 kmpl,Diesel,1497,4,88.77bhp@4000rpm,200Nm@1250-3000rpm,5,Manual,345,37.0,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.6.60 - 10.74 Lakh*Get On Road Price,,,165,,,,,,,,
31,Tata Tiago EV,,,,,73.75bhp,114Nm,5,,240,,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Rs.8.69 - 12.04 Lakh*Get On Road Price,,,,,Yes,,,3.6 Hours,24 KWh,315,
